OPEID,name,city,state,region,median_debt,default_rate,highest_degree,ownership,locale,hbcu,admit_rate,SAT_avg,online_only,enrollment,net_price,avg_cost,net_tuition,ed_spending_per_student,avg_faculty_salary,pct_PELL,pct_fed_loan,grad_rate,pct_firstgen,med_fam_income,med_alum_earnings
367500,University of Utah,Salt Lake City,UT,Rockies & Southwest,13.378,1.7,Graduate,Public,Small City,No,79.4,1236,No,23645,13.572,20.303,12.607,16.414,10.82,23.81,27.57,67.1,29.4409168,38.625,60.59
368100,Westminster College,Salt Lake City,UT,Rockies & Southwest,17.5,1.5,Graduate,Private nonprofit,Small City,No,87.45,1205,No,1415,24.503,49.06,16.647,11.583,8.085,28.97,46.44,69.08,26.8774704,56.805,56.565
368300,Castleton University,Castleton,VT,Northeast,15.591,5.7,Graduate,Public,Town,No,88.31,1036,No,1651,17.74,24.841,12.769,7.915,6.942,36.62,68.61,56.72,34.5005149,66.456,46.876
369100,Middlebury College,Middlebury,VT,Northeast,12,0.8,Graduate,Private nonprofit,Town,No,22.04,1444,No,2571,26.525,74.248,44.117,27.896,12.05,14.19,21.71,93.62,21.5725807,57.882,65.933
369600,University of Vermont,Burlington,VT,Northeast,17.2,1.7,Graduate,Public,Small City,No,71.32,1276,No,10585,19.509,34.707,25.968,15.134,10.558,14.29,42.17,75.91,11.5112161,92.817,58.245
370200,Averett University,Danville,VA,South,17.149,5.3,Bachelors,Private nonprofit,Town,No,69.38,984,No,881,28.218,47.321,16.153,10.776,6.022,46.31,75.39,50.23,37.5510204,40.149,45.467
370400,Bridgewater College,Bridgewater,VA,South,18.5,4.2,Graduate,Private nonprofit,Suburb,No,76.14,1082,No,1552,20.457,51.725,11.12,7.264,6.59,33.27,71.34,63.04,32.0212766,71.0455,48.16
370500,William & Mary,Williamsburg,VA,South,16.5,0.7,Graduate,Public,Suburb,No,42.16,1411,No,6217,19.593,39.595,21.064,17.034,11.669,11.68,23.45,91.25,13.1669535,96.498,64.723
3091300,Regent University,Virginia Beach,VA,South,11.235,7.1,Graduate,Private nonprofit,Large City,No,50.44,1110,No,4231,24.888,30.136,13.833,3.76,8.289,48.52,59.43,60.89,41.9885551,28.0905,41.712
370900,Emory & Henry College,Emory,VA,South,19,9.6,Graduate,Private nonprofit,Rural,No,75.41,1066,No,943,17.245,50.31,14.367,13.275,7.11,45.04,70.85,54.04,26.705653,53.1475,42.5
370800,Eastern Mennonite University,Harrisonburg,VA,South,18.75,4.2,Graduate,Private nonprofit,Small City,No,71.82,1129,No,891,21.842,51.275,16.713,11.559,5.909,30.98,62.17,60.42,31.9066148,62.19,42.697
371100,Ferrum College,Ferrum,VA,South,14,13.3,Bachelors,Private nonprofit,Rural,No,75.83,979,No,962,19.902,50.084,13.276,7.155,5.652,54.04,81.58,31.79,38.8489209,35.8175,40.224
374900,George Mason University,Fairfax,VA,South,16,2.5,Graduate,Public,Suburb,No,89.2,1208,No,26514,19.551,25.717,12.375,13.38,11.579,29.58,40.74,71.59,29.9878592,44.254,66.148
371500,Hollins University,Roanoke,VA,South,25,4.7,Graduate,Private nonprofit,Suburb,No,80.79,1175,No,686,20.127,55.893,9.02,16.154,7.213,35.93,66.92,61.59,25.8241758,48.958,35.969
372100,James Madison University,Harrisonburg,VA,South,17.076,2,Graduate,Public,Small City,No,80.49,1207,No,19550,22.562,27.996,10.955,9.722,9.246,14.31,34.87,82.28,20.8308953,92.165,61.268
2053000,Liberty University,Lynchburg,VA,South,15.909,6.3,Graduate,Private nonprofit,Small City,No,50.13,1172,No,47432,29.382,40.567,11.551,3.386,5.841,41.72,55.11,54.09,42.3986559,31.6965,42.394
371900,Longwood University,Farmville,VA,South,18.76,3.2,Graduate,Public,Town,No,87.34,1052,No,3525,19.545,28.821,6.627,8.642,7.333,25.68,53.49,67.26,27.8876835,72.594,45.952
372300,Mary Baldwin University,Staunton,VA,South,12.95,7.1,Graduate,Private nonprofit,Small City,No,87.1,1042,No,1395,18.354,43.427,12.513,9.533,6.864,55.45,83.18,42.41,40,32.121,39.538
374600,University of Mary Washington,Fredericksburg,VA,South,15.395,2.7,Graduate,Public,Suburb,No,75.49,1195,No,3981,23.193,28.327,6.489,7.951,8.039,19.32,42.47,65.24,24.7989276,80.643,54.819
372400,Marymount University,Arlington,VA,South,20,3.3,Graduate,Private nonprofit,Small City,No,85.26,1089,No,2011,22.856,47.495,21.963,11.31,8.422,28.22,48.15,53.71,29.8264642,46.409,60.36
376500,Norfolk State University,Norfolk,VA,South,17.25,11.5,Graduate,Public,Small City,Yes,91.07,935,No,4977,15.657,26.439,5.405,10.45,8.393,74.06,75.68,39.39,37.3521383,26.072,39.696
372800,Old Dominion University,Norfolk,VA,South,17,5.9,Graduate,Public,Small City,No,95.41,1071,No,19391,17.204,25.722,7.674,11.024,8.855,38.11,53.84,52.73,33.2137112,38.0195,49.678
373300,Randolph-Macon College,Ashland,VA,South,21.5,2.9,Bachelors,Private nonprofit,Suburb,No,71.31,1141,No,1551,25.551,56.509,17.285,11.009,8.495,21,60.53,65.57,22.5423729,88.919,53.288
373400,Randolph College,Lynchburg,VA,South,17.103,3.6,Graduate,Private nonprofit,Small City,No,89.66,1060,No,496,23.325,58.88,12.9,17.635,8.207,39.82,71.5,56.02,26.2686567,61.543,46.968
374400,University of Richmond,University of Richmond,VA,South,18.592,1.9,Graduate,Private nonprofit,Small City,No,30.9,1394,No,3304,27.05,69.606,29.697,22.992,12.012,19.18,36.1,87.96,12.2629583,73.024,69.31
373600,Roanoke College,Salem,VA,South,22.25,3.6,Bachelors,Private nonprofit,Suburb,No,78.13,1155,No,1899,26.997,61.545,15.267,10.728,7.565,25.91,67.4,69.75,20.6590621,82.2375,50.77
373700,Shenandoah University,Winchester,VA,South,20.5,3.6,Graduate,Private nonprofit,Small City,No,74.38,1123,No,2152,30.878,47.85,18.397,10.562,8.133,22.5,67.11,60.67,27.7131783,74.547,50.385
373800,Southern Virginia University,Buena Vista,VA,South,15.75,6.2,Bachelors,Private nonprofit,Town,No,99.03,1205,No,1056,20.834,29.875,12.245,6.419,5.946,48.51,56.62,44.86,17.1428571,55.443,36.607
